adduser/kali-rolling,now 3.116 all [installed]
airspy/kali-rolling,now 1.0.9-1+b2 amd64 [installed]
amd64-microcode/kali-rolling,now 3.20160316.3 amd64 [installed]
apt/kali-rolling,now 1.6~alpha5 amd64 [installed]
apt-transport-https/kali-rolling,now 1.6~alpha5 all [installed]
apt-utils/kali-rolling,now 1.6~alpha5 amd64 [installed]
atmel-firmware/kali-rolling,now 1.3-4 all [installed]
autoconf/kali-rolling,now 2.69-11 all [installed]
automake/kali-rolling,now 1:1.15.1-3 all [installed]
aview/kali-rolling,now 1.3.0rc1-9+b2 amd64 [installed]
base-files/kali-rolling,now 1:2017.3.0 amd64 [installed]
base-passwd/kali-rolling,now 3.5.44 amd64 [installed]
bash/kali-rolling,now 4.4-5 amd64 [installed]
bash-completion/kali-rolling,now 1:2.1-4.3 all [installed]
biber/kali-rolling,now 2.9-1 all [installed]
bison/kali-rolling,now 2:3.0.4.dfsg-1+b1 amd64 [installed]
bladerf/kali-rolling,now 0.2016.06-2 amd64 [installed]
bluez-firmware/kali-rolling,now 1.2-3 all [installed]
bsd-mailx/kali-rolling,now 8.1.2-0.20160123cvs-4 amd64 [installed]
bsdmainutils/kali-rolling,now 9.0.14 amd64 [installed]
bsdutils/kali-rolling,now 1:2.30.2-0.1 amd64 [installed]
bzip2/kali-rolling,now 1.0.6-8.1 amd64 [installed]
chromium/kali-rolling,now 62.0.3202.89-1 amd64 [installed]
cmake/kali-rolling,now 3.9.5-1 amd64 [installed]
cmake-data/kali-rolling,now 3.9.5-1 all [installed]
coreutils/kali-rolling,now 8.28-1 amd64 [installed]
cron/kali-rolling,now 3.0pl1-128.1 amd64 [installed]
cups-backend-bjnp/kali-rolling,now 2.0-1 amd64 [installed]
dahdi-firmware-nonfree/kali-rolling,now 2.11.1-1 all [installed]
dash/kali-rolling,now 0.5.8-2.5 amd64 [installed]
dbus/kali-rolling,now 1.12.2-1 amd64 [installed]
debconf/kali-rolling,now 1.5.65 all [installed]
debconf-i18n/kali-rolling,now 1.5.65 all [installed]
debian-faq/kali-rolling,now 8.1 all [installed]
debianutils/kali-rolling,now 4.8.3 amd64 [installed]
diffutils/kali-rolling,now 1:3.6-1 amd64 [installed]
dmidecode/kali-rolling,now 3.1-1 amd64 [installed]
doc-debian/kali-rolling,now 6.4 all [installed]
doxygen/kali-rolling,now 1.8.13-9 amd64 [installed]
dpkg/kali-rolling,now 1.19.0.4kali1 amd64 [installed]
e2fslibs/kali-rolling,now 1.43.7-1 amd64 [installed]
e2fsprogs/kali-rolling,now 1.43.7-1 amd64 [installed]
emdebian-archive-keyring/kali-rolling,now 2.2 all [installed]
file/kali-rolling,now 1:5.32-1 amd64 [installed]
findutils/kali-rolling,now 4.6.0+git+20170828-2 amd64 [installed]
firmware-amd-graphics/kali-rolling,now 20170823-1 all [installed]
firmware-atheros/kali-rolling,now 20170823-1 all [installed]
firmware-b43-installer/kali-rolling,now 1:019-3 all [installed]
firmware-b43legacy-installer/kali-rolling,now 1:019-3 all [installed]
firmware-bnx2/kali-rolling,now 20170823-1 all [installed]
firmware-bnx2x/kali-rolling,now 20170823-1 all [installed]
firmware-brcm80211/kali-rolling,now 20170823-1 all [installed]
firmware-cavium/kali-rolling,now 20170823-1 all [installed]
firmware-intel-sound/kali-rolling,now 20170823-1 all [installed]
firmware-intelwimax/kali-rolling,now 20170823-1 all [installed]
firmware-ipw2x00/kali-rolling,now 20170823-1 all [installed]
firmware-ivtv/kali-rolling,now 20170823-1 all [installed]
firmware-iwlwifi/kali-rolling,now 20170823-1 all [installed]
firmware-libertas/kali-rolling,now 20170823-1 all [installed]
firmware-linux/kali-rolling,now 20170823-1 all [installed]
firmware-linux-free/kali-rolling,now 3.4 all [installed]
firmware-misc-nonfree/kali-rolling,now 20170823-1 all [installed]
firmware-myricom/kali-rolling,now 20170823-1 all [installed]
firmware-netxen/kali-rolling,now 20170823-1 all [installed]
firmware-qlogic/kali-rolling,now 20170823-1 all [installed]
firmware-realtek/kali-rolling,now 20170823-1 all [installed]
firmware-samsung/kali-rolling,now 20170823-1 all [installed]
firmware-siano/kali-rolling,now 20170823-1 all [installed]
firmware-ti-connectivity/kali-rolling,now 20170823-1 all [installed]
firmware-zd1211/kali-rolling,now 1:1.5-4 all [installed]
ftp/kali-rolling,now 0.17-34 amd64 [installed]
gettext-base/kali-rolling,now 0.19.8.1-4 amd64 [installed]
gimp/kali-rolling,now 2.8.20-1 amd64 [installed]
googler/kali-rolling,now 3.4.0-1 all [installed]
grep/kali-rolling,now 3.1-2 amd64 [installed]
groff-base/kali-rolling,now 1.22.3-9 amd64 [installed]
grub-common/kali-rolling,now 2.02-2 amd64 [installed]
grub-pc/kali-rolling,now 2.02-2 amd64 [installed]
gzip/kali-rolling,now 1.6-5+b1 amd64 [installed]
hackrf/kali-rolling,now 2017.02.1-1 amd64 [installed]
hostname/kali-rolling,now 3.18+b1 amd64 [installed]
